programming,mathematics,communication,problemSolving,creativity,leadership,analyticalThinking,teamwork,dataAnalysis,networking,logical_aptitude,verbal_aptitude,quantitative_aptitude,career
4,5,7,7,5,4,6,7,5,9,90,69,80,Network Engineer
9,9,5,8,5,3,9,6,8,4,83,60,84,ML Engineer
5,6,7,6,4,5,8,6,4,9,76,70,75,Network Engineer
6,5,7,9,7,5,10,7,4,10,78,65,67,Cybersecurity Analyst
4,4,7,7,3,5,8,7,5,9,78,67,70,Network Engineer
6,5,6,10,6,5,8,6,5,9,88,68,70,Cybersecurity Analyst
8,9,6,8,3,3,8,5,9,3,92,62,98,Data Scientist
8,7,5,10,7,5,6,6,4,3,84,66,78,Software Developer
6,9,6,9,4,4,10,5,9,3,85,56,97,Data Scientist
5,6,10,7,6,8,8,9,7,4,73,95,74,Business Analyst
5,4,8,8,9,4,5,9,5,3,61,86,49,UX/UI Designer
8,5,6,8,6,6,10,7,6,9,90,68,69,Cybersecurity Analyst
7,7,6,9,6,6,8,8,5,9,82,79,60,Cybersecurity Analyst
8,7,7,7,6,5,9,7,5,4,79,66,79,Software Developer
3,5,8,6,5,4,7,6,5,9,83,71,81,Network Engineer
7,6,5,8,5,6,8,6,4,9,84,59,78,Cloud Engineer
5,3,8,8,8,5,7,8,5,3,68,87,56,UX/UI Designer
4,3,10,8,9,5,5,7,5,3,62,90,58,UX/UI Designer
8,5,6,7,3,6,8,6,5,10,92,63,75,Cloud Engineer
2,3,9,8,9,5,7,6,4,3,62,81,60,UX/UI Designer
9,6,5,8,5,4,9,7,5,4,95,75,81,Software Developer
4,4,8,9,7,9,8,9,7,5,79,83,81,Product Manager
4,5,8,9,7,9,8,8,5,6,72,89,71,Product Manager
7,8,6,8,5,4,8,5,10,3,84,62,92,Data Scientist
4,5,10,8,9,9,7,8,6,7,76,82,69,Product Manager
8,5,5,7,4,6,7,6,4,10,73,58,72,Cloud Engineer
6,9,6,9,5,3,8,6,10,3,91,62,85,Data Scientist
9,5,5,8,6,5,8,7,4,4,79,64,79,Software Developer
5,6,7,8,3,4,9,7,6,8,88,62,68,Network Engineer
4,5,9,9,7,9,9,9,6,5,79,92,74,Product Manager
6,9,6,7,5,4,9,6,8,3,87,65,89,Data Scientist
9,9,6,9,7,2,9,4,8,3,89,65,83,ML Engineer
4,5,9,9,8,10,8,10,6,7,80,91,64,Product Manager
6,9,5,8,4,3,9,6,9,3,87,64,95,Data Scientist
3,6,6,8,3,5,7,8,5,9,79,58,69,Network Engineer
4,3,7,8,9,6,7,8,5,3,66,96,61,UX/UI Designer
10,4,6,9,3,6,8,7,5,9,84,69,77,DevOps Engineer
4,6,9,7,5,8,8,9,7,5,77,88,75,Business Analyst
2,3,9,8,9,4,7,8,4,3,61,78,52,UX/UI Designer
7,8,7,8,3,4,10,4,9,3,87,62,92,Data Scientist
4,6,9,8,7,9,10,8,7,7,75,90,66,Product Manager
7,9,5,8,3,4,9,6,9,3,90,60,98,Data Scientist
6,9,5,7,4,3,9,6,9,3,86,59,91,Data Scientist
9,8,7,8,5,5,8,6,4,6,84,63,81,Software Developer
8,7,5,9,5,5,7,7,5,4,81,60,76,Software Developer
4,3,9,8,8,6,8,9,4,3,70,92,46,UX/UI Designer
10,5,7,8,6,5,9,7,3,9,89,70,74,DevOps Engineer
3,4,8,8,9,6,6,7,4,3,62,90,58,UX/UI Designer
7,5,6,9,7,6,8,7,7,10,77,80,63,Cybersecurity Analyst
5,5,10,9,8,9,8,8,7,5,78,94,74,Product Manager
9,9,4,9,4,4,9,6,8,3,93,57,98,ML Engineer
5,6,9,8,5,7,8,8,6,5,68,85,83,Business Analyst
9,4,5,10,4,6,7,7,5,9,83,68,78,DevOps Engineer
9,10,5,8,6,4,8,6,9,3,83,60,90,ML Engineer
8,9,5,9,6,2,8,6,9,3,90,54,86,ML Engineer
8,4,6,8,5,5,8,8,3,8,85,56,74,DevOps Engineer
5,6,9,9,9,9,8,10,6,5,72,85,75,Product Manager
8,10,6,7,6,3,9,5,9,3,90,65,95,Data Scientist
4,7,8,7,4,4,8,7,5,8,90,69,79,Network Engineer
6,8,5,8,3,4,9,7,8,3,85,56,91,Data Scientist
9,9,5,9,7,3,8,6,9,3,94,55,85,ML Engineer
8,8,4,9,6,2,9,5,8,4,90,62,98,ML Engineer
6,6,5,8,7,5,8,6,5,9,93,76,64,Cybersecurity Analyst
2,4,9,7,9,6,8,7,5,2,74,81,50,UX/UI Designer
9,5,5,9,5,6,6,7,3,9,93,60,70,DevOps Engineer
4,3,9,7,8,6,5,8,6,3,69,94,60,UX/UI Designer
6,4,10,9,7,9,9,8,7,6,70,91,74,Product Manager
8,4,4,8,5,6,8,7,3,9,86,69,65,DevOps Engineer
4,6,9,7,5,7,7,7,7,3,75,87,75,Business Analyst
4,4,8,7,9,7,6,8,4,3,64,85,52,UX/UI Designer
4,6,7,9,7,6,8,6,6,4,82,84,78,Business Analyst
9,9,4,8,4,4,9,5,7,3,90,58,85,ML Engineer
6,6,7,7,3,4,9,7,5,9,85,66,74,Network Engineer
8,6,8,8,6,5,9,7,5,9,84,74,74,Cybersecurity Analyst
7,4,6,9,5,7,7,8,5,7,83,59,75,DevOps Engineer
9,4,5,8,5,6,7,7,4,8,85,70,70,DevOps Engineer
9,9,5,8,6,3,10,5,8,3,82,64,98,ML Engineer
4,2,9,7,9,5,6,8,5,3,66,87,45,UX/UI Designer
5,4,9,7,7,9,8,10,7,5,83,94,73,Product Manager
4,3,7,8,9,6,6,8,5,3,59,82,55,UX/UI Designer
4,6,9,8,9,9,9,9,6,5,74,86,72,Product Manager
9,5,6,9,7,5,6,6,5,5,90,55,78,Software Developer
4,6,6,7,3,5,7,7,4,9,73,70,67,Network Engineer
7,8,6,8,5,3,10,5,8,3,86,56,94,Data Scientist
5,6,6,8,4,4,6,7,5,9,79,71,68,Network Engineer
8,7,6,9,5,5,9,7,5,4,89,74,81,Software Developer
4,5,8,6,2,5,7,8,4,10,75,67,73,Network Engineer
9,7,6,8,5,3,9,7,4,5,89,70,72,Software Developer
9,6,5,6,4,6,8,7,4,9,73,63,76,Cloud Engineer
9,9,6,8,6,4,9,6,8,3,92,53,88,ML Engineer
8,7,4,9,5,4,7,5,5,5,85,60,75,Software Developer
4,8,8,7,5,6,9,9,7,4,84,91,73,Business Analyst
6,9,5,6,5,4,8,5,9,3,86,67,84,Data Scientist
7,6,7,8,7,5,7,6,5,4,95,60,83,Software Developer
6,9,5,6,5,4,10,5,9,4,88,61,98,Data Scientist
3,4,9,8,10,7,7,8,5,4,63,81,59,UX/UI Designer
10,7,5,8,5,5,8,6,5,4,84,66,88,Software Developer
8,4,5,7,4,4,7,7,6,9,79,59,72,DevOps Engineer
5,7,6,8,7,6,8,6,6,9,84,62,67,Cybersecurity Analyst
6,7,7,8,6,6,9,8,5,9,91,65,65,Cybersecurity Analyst
9,6,6,8,3,6,9,6,6,9,92,66,70,Cloud Engineer
8,3,6,9,3,5,7,7,4,8,85,60,78,DevOps Engineer
4,5,8,8,8,9,9,9,6,5,80,93,71,Product Manager
9,6,6,8,5,6,7,8,4,9,85,57,76,DevOps Engineer
5,7,8,7,6,7,10,8,8,5,76,86,65,Business Analyst
3,4,8,7,9,5,8,8,4,2,71,88,58,UX/UI Designer
7,7,5,8,4,5,7,7,5,3,80,69,76,Software Developer
9,4,6,9,5,6,7,8,5,7,83,71,83,DevOps Engineer
7,9,5,7,5,3,9,4,10,3,95,57,90,Data Scientist
4,7,9,8,8,10,7,10,6,5,71,88,65,Product Manager
5,7,7,8,5,8,7,7,7,4,76,78,65,Business Analyst
8,5,5,7,4,4,7,6,4,9,78,69,76,Cloud Engineer
9,8,5,8,6,3,9,6,8,3,80,60,90,ML Engineer
7,5,7,8,6,6,9,8,6,8,80,65,70,Cybersecurity Analyst
4,4,9,8,9,5,7,7,4,3,75,83,58,UX/UI Designer
5,5,7,8,4,6,7,7,4,9,73,71,69,Network Engineer
8,6,5,8,5,4,7,6,4,4,88,66,82,Software Developer
8,9,5,9,6,4,10,4,8,3,97,63,94,ML Engineer
5,6,8,7,6,7,9,7,8,4,72,90,67,Business Analyst
7,4,6,9,6,6,7,7,3,10,83,61,79,DevOps Engineer
8,6,4,8,5,6,8,8,5,9,84,57,78,DevOps Engineer
7,7,5,8,5,5,7,5,4,8,84,58,74,Cloud Engineer
8,5,5,8,3,5,7,8,4,8,84,71,73,DevOps Engineer
10,4,5,9,3,6,8,8,5,9,85,70,75,DevOps Engineer
6,5,6,9,5,4,10,7,6,9,87,70,63,Cybersecurity Analyst
3,5,8,9,6,9,8,9,6,5,73,95,74,Product Manager
5,5,8,8,4,5,7,6,3,9,84,62,79,Network Engineer
6,6,8,9,6,6,8,8,6,4,72,78,70,Business Analyst
9,9,4,7,6,3,8,6,9,3,93,53,90,ML Engineer
7,9,5,7,5,3,8,5,9,2,90,64,90,Data Scientist
4,6,9,8,7,9,8,9,6,6,70,83,79,Product Manager
7,5,7,9,6,5,8,7,6,10,84,80,66,Cybersecurity Analyst
9,7,6,8,6,4,7,8,5,5,89,66,81,Software Developer
4,6,9,8,6,8,9,8,7,5,79,94,78,Business Analyst
7,5,8,9,6,6,8,6,6,9,88,67,76,Cybersecurity Analyst
9,9,3,8,7,3,9,6,8,4,88,59,97,ML Engineer
4,4,8,8,10,5,6,8,6,2,55,84,55,UX/UI Designer
4,7,9,7,8,9,9,10,8,5,79,98,78,Product Manager
4,6,8,7,7,8,9,7,8,4,81,86,82,Business Analyst
9,4,6,9,5,6,8,7,5,8,80,68,65,DevOps Engineer
7,4,6,7,5,5,7,8,5,9,81,61,83,DevOps Engineer
5,5,9,8,8,8,9,9,5,6,74,96,77,Product Manager
10,6,6,7,5,5,8,8,4,4,87,68,82,Software Developer
4,6,7,7,4,4,7,6,3,9,74,71,78,Network Engineer
8,5,5,10,5,4,6,7,4,6,86,63,83,Software Developer
7,5,4,7,4,5,8,5,4,8,85,69,68,Cloud Engineer
4,5,7,7,3,3,6,6,6,9,84,66,76,Network Engineer
10,9,4,9,5,4,9,6,9,3,93,48,86,ML Engineer
8,5,6,9,6,6,6,6,4,8,83,70,74,DevOps Engineer
4,3,9,8,9,6,6,8,5,4,62,92,59,UX/UI Designer
4,7,7,8,4,6,9,5,5,10,79,67,71,Network Engineer
8,3,5,9,4,6,8,7,5,9,86,66,79,DevOps Engineer
7,8,5,10,5,5,9,6,3,4,87,68,86,Software Developer
8,4,6,7,5,5,8,7,4,9,83,75,65,Cloud Engineer
9,9,5,9,6,3,8,6,9,4,92,56,94,ML Engineer
4,6,7,6,3,4,7,6,5,9,72,61,75,Network Engineer
6,9,7,7,4,2,9,6,9,2,91,66,90,Data Scientist
4,3,8,8,9,5,6,8,5,3,68,92,60,UX/UI Designer
5,6,10,9,6,9,8,9,7,5,72,78,68,Business Analyst
5,5,6,8,3,4,8,7,5,9,78,59,83,Network Engineer
8,4,5,8,6,6,8,7,5,8,79,62,76,DevOps Engineer
7,9,6,8,4,3,8,6,9,3,89,53,86,Data Scientist
6,5,5,8,4,4,7,7,5,9,83,58,78,Network Engineer
3,3,10,8,9,7,6,7,4,4,62,92,52,UX/UI Designer
9,5,6,7,3,6,8,9,4,9,93,55,67,DevOps Engineer
6,5,6,8,8,6,7,7,4,9,78,71,64,Cybersecurity Analyst
6,9,5,7,5,3,8,6,9,4,89,64,91,Data Scientist
9,9,6,9,7,2,8,5,8,3,87,64,94,ML Engineer
6,8,9,7,6,6,8,7,7,5,73,95,73,Business Analyst
6,6,8,8,6,8,8,8,7,4,72,91,68,Business Analyst
7,6,5,7,5,6,7,7,4,8,83,69,71,Cloud Engineer
6,9,7,7,4,2,9,5,10,4,87,62,90,Data Scientist
7,5,5,7,3,6,7,7,5,10,76,73,73,Cloud Engineer
9,6,5,9,5,4,7,7,4,5,80,60,81,Software Developer
7,5,5,8,4,5,7,6,3,8,85,68,73,Cloud Engineer
4,7,10,8,6,7,10,8,7,4,84,79,69,Business Analyst
7,5,8,7,6,6,8,6,5,9,80,66,62,Cybersecurity Analyst
5,5,7,7,3,5,7,8,4,9,86,62,75,Network Engineer
9,5,6,8,4,5,6,8,4,8,75,61,76,DevOps Engineer
7,5,5,7,4,5,9,7,4,8,87,70,79,Cloud Engineer
6,5,6,10,6,5,8,6,6,9,84,69,72,Cybersecurity Analyst
8,6,5,9,4,5,8,7,4,9,88,58,66,Cloud Engineer
9,10,5,9,6,3,10,7,9,3,82,60,90,ML Engineer
6,10,5,6,5,2,9,5,9,2,82,56,89,Data Scientist
9,6,5,9,6,4,8,7,4,5,85,75,71,Software Developer
9,6,5,9,6,5,7,7,4,4,82,66,70,Software Developer
9,9,5,9,5,4,8,5,9,3,85,61,90,ML Engineer
5,6,9,8,8,9,8,9,6,5,80,88,75,Product Manager
8,4,5,8,4,5,9,8,4,9,80,74,75,Cloud Engineer
9,6,5,8,4,5,7,6,6,10,76,68,76,DevOps Engineer
7,7,6,9,7,4,7,7,6,3,87,58,70,Software Developer
6,5,5,8,8,6,10,7,5,9,84,66,64,Cybersecurity Analyst
4,5,8,8,5,7,10,8,6,4,78,93,65,Business Analyst
8,5,6,8,6,5,7,7,6,4,94,64,76,Software Developer
6,5,6,9,6,4,9,6,5,8,89,74,64,Cybersecurity Analyst
4,6,8,8,6,6,8,8,8,4,75,81,82,Business Analyst
7,4,6,9,5,6,8,7,4,9,84,65,79,DevOps Engineer
4,6,6,7,3,3,9,6,4,10,71,72,75,Network Engineer
8,10,5,8,4,2,9,5,7,3,93,64,91,ML Engineer
9,7,5,7,4,6,8,6,5,8,88,58,73,Cloud Engineer
9,5,5,8,4,6,8,6,5,9,76,66,71,Cloud Engineer
6,9,6,7,5,2,8,6,8,3,80,53,88,Data Scientist
10,6,5,9,5,5,7,7,5,6,86,72,73,Software Developer
8,4,5,8,3,5,8,7,4,9,78,71,75,Cloud Engineer
8,5,4,8,6,6,7,6,4,8,76,66,78,Cloud Engineer
4,6,9,8,8,10,9,9,7,5,72,87,65,Product Manager
4,6,9,8,7,8,9,9,6,6,81,90,62,Product Manager
5,7,8,8,8,9,8,10,6,6,79,89,62,Product Manager
8,5,5,7,4,6,7,7,5,8,87,69,76,Cloud Engineer
8,4,5,9,3,6,6,6,6,9,75,70,73,DevOps Engineer
5,7,8,8,5,7,9,8,8,4,76,85,68,Business Analyst
5,6,6,9,2,5,7,6,5,9,78,75,68,Network Engineer
4,5,7,8,3,5,6,7,3,10,81,74,81,Network Engineer
8,9,4,9,6,3,9,5,9,3,91,65,89,ML Engineer
5,5,6,7,3,4,7,6,5,9,76,58,73,Network Engineer
9,5,5,8,5,6,9,7,5,9,79,59,68,DevOps Engineer
5,6,8,8,6,7,9,8,8,5,85,88,74,Business Analyst
6,4,6,7,5,6,9,7,5,9,77,69,69,Cybersecurity Analyst
7,5,6,10,7,5,7,6,6,9,89,77,70,Cybersecurity Analyst
9,6,5,9,7,5,7,6,4,4,84,65,89,Software Developer
9,5,7,9,4,6,7,7,4,8,75,69,83,DevOps Engineer
7,6,8,8,6,6,10,6,4,9,88,74,76,Cybersecurity Analyst
5,4,9,8,7,10,8,9,7,5,71,91,70,Product Manager
10,4,5,9,4,6,8,8,4,7,86,62,67,DevOps Engineer
6,8,5,6,5,4,9,6,10,3,92,62,89,Data Scientist
4,3,9,7,9,6,7,8,4,3,59,92,61,UX/UI Designer
6,6,6,8,8,5,8,8,4,8,92,69,72,Cybersecurity Analyst
6,9,5,6,4,3,10,5,9,3,86,61,87,Data Scientist
8,6,7,7,5,6,7,7,4,8,84,72,74,Cloud Engineer
8,5,4,7,5,6,9,5,3,8,87,63,67,Cloud Engineer
8,10,4,10,7,5,8,5,9,3,81,62,87,ML Engineer
7,9,6,9,5,5,8,5,9,3,84,63,85,Data Scientist
8,4,5,7,3,6,9,8,4,8,76,63,73,DevOps Engineer
6,9,6,8,5,5,9,5,9,3,85,54,95,Data Scientist
5,5,6,7,3,4,8,5,4,9,78,66,77,Network Engineer
6,7,8,8,7,7,9,8,8,5,67,83,72,Business Analyst
4,6,9,7,6,7,9,8,8,5,73,87,68,Business Analyst
7,8,6,6,4,3,9,5,9,3,88,63,94,Data Scientist
4,3,9,8,9,7,7,7,4,4,62,87,56,UX/UI Designer
6,5,7,8,7,5,8,6,6,9,84,72,78,Cybersecurity Analyst
4,4,7,6,4,4,8,7,4,9,90,66,73,Network Engineer
10,9,5,9,5,5,10,5,9,3,88,57,89,ML Engineer
3,6,9,10,7,9,9,9,7,5,76,88,72,Product Manager
3,3,8,7,9,6,7,6,6,3,68,86,56,UX/UI Designer
9,5,6,7,5,5,8,8,3,10,82,67,72,DevOps Engineer
5,6,9,6,5,8,9,7,8,4,71,80,80,Business Analyst
9,9,4,9,5,4,8,5,9,4,85,49,89,ML Engineer
5,5,9,7,7,9,9,8,6,7,76,90,65,Product Manager
9,9,4,9,5,4,9,6,8,3,94,61,94,ML Engineer
8,7,6,9,6,5,8,8,5,4,86,72,81,Software Developer
9,5,6,9,4,6,6,7,5,8,79,68,74,DevOps Engineer
8,10,3,8,7,4,8,5,8,3,95,57,85,ML Engineer
2,3,9,8,10,6,7,6,5,3,63,84,59,UX/UI Designer
4,4,9,8,7,10,8,9,6,6,71,91,73,Product Manager
7,6,7,7,6,3,7,6,5,3,75,62,80,Software Developer
4,3,9,7,10,6,7,8,5,2,58,89,57,UX/UI Designer
5,6,5,7,3,5,8,7,6,10,80,58,79,Network Engineer
5,7,9,8,7,8,9,7,8,4,65,86,79,Business Analyst
5,5,9,8,7,9,9,9,8,5,78,85,75,Product Manager
10,9,4,9,4,4,9,6,7,3,88,54,83,ML Engineer
8,7,5,8,4,6,8,8,6,8,81,64,74,Cloud Engineer
6,9,6,8,4,4,9,7,9,2,87,57,95,Data Scientist
2,4,10,9,9,6,5,8,5,3,60,91,64,UX/UI Designer
6,9,5,7,4,4,9,5,9,2,78,60,91,Data Scientist
9,6,5,7,5,3,8,6,5,5,90,70,77,Software Developer
4,5,6,8,4,4,8,7,4,9,78,71,74,Network Engineer
4,4,8,6,9,6,6,7,5,3,73,83,61,UX/UI Designer
7,7,5,7,6,6,7,8,3,9,85,65,70,Cloud Engineer
5,5,9,10,6,10,8,8,6,6,78,88,69,Product Manager
9,8,5,8,6,4,8,6,8,3,86,62,90,ML Engineer
5,7,10,9,7,9,9,9,7,6,80,95,76,Product Manager
10,9,4,8,6,4,10,7,9,4,80,56,91,ML Engineer
9,9,4,9,5,4,8,7,9,3,82,51,92,ML Engineer
9,8,4,8,5,5,9,6,8,3,92,53,88,ML Engineer
8,5,6,7,4,6,7,7,5,9,89,63,76,DevOps Engineer
6,9,5,7,3,2,8,4,9,3,87,56,86,Data Scientist
4,5,8,7,10,5,6,6,5,3,69,88,58,UX/UI Designer
6,6,6,10,7,7,8,6,5,9,87,74,67,Cybersecurity Analyst
5,6,9,9,7,9,7,9,6,5,68,93,69,Product Manager
9,10,5,8,7,2,8,5,8,3,90,59,98,ML Engineer
8,5,4,9,4,5,9,8,4,8,87,61,70,DevOps Engineer
4,4,7,6,9,5,7,9,5,3,75,89,58,UX/UI Designer
5,7,7,7,3,5,8,6,4,9,74,70,75,Network Engineer
7,6,7,8,7,6,10,6,6,9,84,75,68,Cybersecurity Analyst
7,7,5,10,5,4,7,6,4,3,80,57,73,Software Developer
8,7,6,8,6,5,7,8,5,4,82,61,86,Software Developer
9,5,5,6,6,5,7,7,5,10,92,70,72,Cloud Engineer
4,6,8,8,3,5,8,8,4,9,90,63,74,Network Engineer
8,6,5,9,5,3,8,6,4,5,86,71,83,Software Developer
5,6,5,9,6,6,9,6,5,10,77,74,71,Cybersecurity Analyst
4,6,8,8,5,7,9,8,8,5,81,94,77,Business Analyst
8,6,4,10,5,4,8,7,5,3,87,62,74,Software Developer
8,5,7,8,4,5,8,7,5,10,92,72,74,DevOps Engineer
4,4,9,8,9,6,5,7,4,3,60,78,61,UX/UI Designer
3,6,7,8,4,5,8,7,6,9,75,73,78,Network Engineer
8,6,6,7,4,6,8,7,3,10,85,71,74,Cloud Engineer
5,6,7,6,5,8,8,7,7,6,85,78,72,Business Analyst
9,6,5,9,6,5,7,7,3,4,87,69,79,Software Developer
8,4,5,7,4,6,7,7,5,9,86,60,72,DevOps Engineer
7,4,6,8,4,4,6,8,4,9,78,68,72,DevOps Engineer
3,4,8,7,8,5,6,8,4,4,64,95,50,UX/UI Designer
7,6,5,8,5,5,9,7,4,9,81,68,75,Cloud Engineer
4,6,7,9,3,4,7,6,4,9,74,58,67,Network Engineer
6,10,5,8,5,5,10,5,10,2,85,69,87,Data Scientist
3,2,8,8,9,5,6,8,4,3,62,88,56,UX/UI Designer
4,7,9,8,8,10,9,9,7,6,86,91,70,Product Manager
5,6,10,7,5,8,8,7,8,5,66,87,80,Business Analyst
8,5,6,8,4,6,8,8,4,8,89,72,75,Cloud Engineer
9,9,5,8,5,3,7,7,9,3,86,65,91,ML Engineer
4,8,7,9,4,8,8,7,6,5,77,91,72,Business Analyst
6,6,7,9,7,6,9,7,6,9,79,72,80,Cybersecurity Analyst
4,6,7,8,3,6,6,8,4,9,89,75,81,Network Engineer
9,4,6,9,3,5,8,7,4,9,86,59,71,DevOps Engineer
7,7,5,6,6,6,7,6,3,10,86,69,78,Cloud Engineer
4,4,7,8,9,5,7,8,6,3,68,86,53,UX/UI Designer
8,5,6,9,6,5,8,8,5,8,84,73,71,DevOps Engineer
3,3,9,8,10,5,7,7,5,3,70,91,59,UX/UI Designer
5,9,5,8,5,4,9,5,9,3,90,60,82,Data Scientist
3,6,9,10,7,9,9,9,5,5,83,86,66,Product Manager
8,5,6,9,5,4,8,7,5,5,82,63,81,Software Developer
9,4,5,9,3,6,7,7,6,9,86,63,78,DevOps Engineer
7,6,7,8,7,6,9,7,4,8,85,72,73,Cybersecurity Analyst
4,5,6,6,4,5,7,7,4,9,75,74,83,Network Engineer
6,9,5,8,4,4,9,7,9,3,87,55,93,Data Scientist
8,4,5,8,3,6,8,9,4,9,90,66,79,DevOps Engineer
8,6,5,7,5,5,7,6,4,7,80,70,72,Cloud Engineer
6,5,6,8,7,7,8,7,5,9,80,74,73,Cybersecurity Analyst
4,6,10,8,7,9,7,9,7,5,75,94,74,Product Manager
8,9,6,8,4,3,9,6,8,3,82,56,87,Data Scientist
8,9,4,8,6,4,8,7,9,3,90,54,96,ML Engineer
7,5,6,6,5,6,8,6,5,8,79,71,68,Cloud Engineer
9,8,4,8,6,4,9,5,9,3,87,52,92,ML Engineer
6,9,6,8,3,2,9,5,9,3,86,67,84,Data Scientist
8,5,6,7,5,5,7,6,5,8,76,58,73,Cloud Engineer
4,6,8,9,7,7,10,7,8,5,71,84,66,Business Analyst
9,10,5,9,6,3,10,7,9,3,93,59,93,ML Engineer
7,9,5,7,4,4,9,5,8,2,89,54,91,Data Scientist
4,6,7,6,3,5,9,7,4,9,83,69,70,Network Engineer
3,7,9,9,4,7,9,7,7,5,70,82,70,Business Analyst
9,7,5,9,6,5,7,8,4,6,86,62,74,Software Developer
8,5,5,9,6,5,7,6,4,8,82,61,75,Cloud Engineer
9,8,5,8,5,3,8,7,9,2,84,61,89,ML Engineer
6,5,8,8,5,8,9,8,7,4,80,89,76,Business Analyst
8,5,6,10,7,5,8,6,7,9,78,77,69,Cybersecurity Analyst
5,6,8,7,5,6,10,8,8,5,80,92,71,Business Analyst
9,10,4,9,6,3,8,5,8,3,90,59,86,ML Engineer
4,6,8,8,6,7,9,8,8,6,85,78,74,Business Analyst
5,6,7,7,3,5,6,7,4,9,90,70,75,Network Engineer
7,5,7,9,7,6,9,7,6,9,89,80,65,Cybersecurity Analyst
9,8,5,9,4,3,8,5,9,2,85,68,87,ML Engineer
7,6,6,8,5,7,9,7,5,9,78,73,70,DevOps Engineer
9,7,5,9,6,4,7,7,3,4,82,65,81,Software Developer
5,7,9,7,6,7,9,8,7,5,78,84,71,Business Analyst
5,3,8,9,10,5,5,7,4,3,70,80,56,UX/UI Designer
8,5,5,9,3,6,8,8,5,8,75,57,78,DevOps Engineer
6,4,6,9,7,4,8,6,5,10,83,71,66,Cybersecurity Analyst
7,6,6,9,4,5,8,6,4,5,86,68,80,Software Developer
4,6,9,6,6,6,9,7,9,4,72,82,77,Business Analyst
8,4,6,9,5,6,8,7,6,10,80,65,73,DevOps Engineer
7,8,5,7,3,3,9,5,9,2,84,65,91,Data Scientist
7,6,6,7,4,5,7,6,4,9,84,68,70,Cloud Engineer
6,10,7,6,5,4,9,5,9,3,89,59,98,Data Scientist
5,5,8,10,8,9,8,8,6,6,75,97,77,Product Manager
